year,party,age_bracket,n,anger,anger_dev
2022,Democrat,60,30328,0.23496964595886494,-0.013767302569758055
2022,Democrat,65,32014,0.24839561436107682,-0.0003413341675461701
2022,Democrat,70,29645,0.27087793870324667,0.022140990174623676
2022,Democrat,75,22644,0.2762682518792833,0.027531303350660286
2022,Democrat,80,7513,0.20564845224899947,-0.04308849627962352
2022,Democrat,85,1528,0.21983426339261194,-0.028902685136011047
2022,Republican,25,410,0.46778385443045056,0.035526350598293566
2022,Republican,30,2442,0.3548583968637479,-0.07739910696840907
2022,Republican,35,12645,0.49228858234084255,0.060031078508685554
2022,Republican,40,16297,0.43726838306717475,0.005010879235017751
2022,Republican,45,10920,0.44093306301542873,0.00867555918327173
2022,Republican,50,28425,0.4612223165458119,0.02896481271365492
2022,Republican,55,30552,0.4239277276084287,-0.008329776223728325
2022,Republican,60,32148,0.4396535576781385,0.007396053845981521
2022,Republican,65,25928,0.40037281988741963,-0.03188468394473737
2022,Republican,70,14949,0.416780022102803,-0.015477481729353981
2022,Republican,75,2797,0.3387208506401693,-0.09353665319198767
2022,Republican,80,787,0.37889306898390945,-0.053364434848247544
2022,Republican,85,1618,0.3049691195371797,-0.1272883842949773
2023,Democrat,25,1232,0.32421222205769706,0.03873808262904094
2023,Democrat,30,1793,0.3949268903727168,0.10945275094406065
2023,Democrat,35,6772,0.2517351953019,-0.0337389441267561
2023,Democrat,40,12851,0.26851276422782083,-0.016961375200835294
2023,Democrat,45,16869,0.31021882676910556,0.024744687340449434
2023,Democrat,50,18657,0.2911964996880903,0.005722360259434178
2023,Democrat,55,14398,0.27989625734359735,-0.005577882085058772
2023,Democrat,60,15213,0.27401941723404144,-0.011454722194614686
2023,Democrat,65,17585,0.2720737806670442,-0.013400358761611941
2023,Democrat,70,16812,0.28634529693428645,0.0008711575056303267
2023,Democrat,75,13325,0.2915071248173308,0.006032985388674694
2023,Democrat,80,3073,0.2704153130619838,-0.015058826366672329
2023,Democrat,85,894,0.41942620089473476,0.13395206146607863
2023,Republican,30,1833,0.414559873799548,0.00574015583499482
2023,Republican,35,11035,0.4573769299336635,0.04855721196911034
2023,Republican,40,13284,0.4393160171224806,0.030496299157927398
2023,Republican,45,12254,0.3508472026001084,-0.05797251536444481
2023,Republican,50,22559,0.45184054171498145,0.04302082375042826
2023,Republican,55,18488,0.3975194387410239,-0.011300279223529275
2023,Republican,60,22221,0.39506973047622523,-0.013749987488327953
2023,Republican,65,16697,0.3508723776497977,-0.05794734031475551
2023,Republican,70,17060,0.44134497843734083,0.03252526047278764
2023,Republican,75,2311,0.39679995538003515,-0.012019762584518034
2023,Republican,80,1857,0.3471533014515779,-0.061666416512975275
2023,Republican,85,649,0.27213156667504984,-0.13668815128950335
2023,Republican,90,309,0.23584791009456016,-0.17297180786999303
2024,Democrat,25,760,0.2844164695566226,0.03465094801545146
2024,Democrat,30,751,0.32287784986391405,0.07311232832274292
2024,Democrat,35,9530,0.26802398007282946,0.018258458531658334
2024,Democrat,40,18137,0.21607854957547776,-0.03368697196569337
2024,Democrat,45,22068,0.25282584574081235,0.0030603241996412234
2024,Democrat,50,24262,0.2395034227764075,-0.010262098764763639
2024,Democrat,55,19899,0.2607944774773906,0.01102895593621947
2024,Democrat,60,18520,0.22589623952918328,-0.023869282011987847
2024,Democrat,65,27548,0.23804475102129305,-0.011720770519878076
2024,Democrat,70,19998,0.26017325859467866,0.010407737053507532
2024,Democrat,75,15794,0.27827921520832927,0.02851369366715814
2024,Democrat,80,4023,0.24087144792037793,-0.008894073620793197
2024,Democrat,85,1635,0.531085752266593,0.2813202307254219
2024,Republican,30,521,0.5323631507746747,0.12063559600642865
2024,Republican,35,10583,0.40669684398027095,-0.005030710787975068
2024,Republican,40,23548,0.4400602824236232,0.0283327276553772
2024,Republican,45,19983,0.41603410094608473,0.00430654617783871
2024,Republican,50,29853,0.4556905648245985,0.0439630100563525
2024,Republican,55,23829,0.42421851391424736,0.012490959146001346
2024,Republican,60,30272,0.38837224745858806,-0.023355307309657958
2024,Republican,65,19184,0.3535302494089863,-0.05819730535925971
2024,Republican,70,26532,0.40109058551450255,-0.010636969253743467
2024,Republican,75,2477,0.40459471053117113,-0.007132844237074887
2024,Republican,80,1766,0.32848864095575586,-0.08323891381249016
2024,Republican,90,1071,0.31596125509062944,-0.09576629967761657
