year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2024,70,46530,77,0.3405261173489612,0.3435203094777563,0.2731451659478858,0.4372599120620971,0.0017818135242266228,0.007352720979413585
2024,75,18359,47,0.29458510912544666,0.2925540606786862,0.2247944946208345,0.48728660967438303,0.002708524571915217,-0.03858828724410096
2024,80,7098,19,0.3170942383174157,0.31882220343758805,0.24979862659399338,0.45733914989131774,0.0044345879235120995,-0.016079158052131948
2024,85,1699,6,0.5188643512197646,0.5297233666862861,0.38934001618921715,0.34160328647554833,0.010258601376831926,0.18569095485021697
2024,90,1071,1,0.31596125509062944,0.30718954248366015,0.204599435894357,0.37230524192342446,0.011390219665279202,-0.01721214127891818
2025,25,1080,1,0.477927260343589,0.48518518518518516,0.38696889123034284,0.2892192689805395,0.012356076966811139,0.041387150981624654
2025,30,4229,7,0.47249046535955486,0.48285646724994086,0.34978108013899767,0.3372859446914128,0.006477370608731897,0.0359503559975905
2025,35,22677,33,0.4089280880085193,0.4129293998324293,0.3135070865867872,0.3723060566840461,0.0026619517099492167,-0.027612021353445038
2025,40,31920,51,0.3924551586179284,0.39865288220551376,0.2904875773870735,0.42180048504379375,0.0022503095699724293,-0.044084950744035956
2025,45,53574,68,0.4449774624874032,0.4534662336207862,0.33969228301263454,0.3464168869323837,0.0017470457435771795,0.008437353125438862
2025,50,60890,76,0.44174630455722835,0.45020528822466743,0.3344486180653832,0.3339514005223857,0.001628066102576203,0.005206195195263996
2025,55,46280,88,0.42552302258517616,0.4328867761452031,0.3228332151953443,0.3798478798082705,0.0018901382562680573,-0.011017086776788199
2025,60,52839,82,0.40958199612398144,0.41582921705558396,0.3055993520837904,0.38445139153049357,0.0017453213094384148,-0.026958113237982917
2025,65,34981,68,0.43473518206145956,0.44561333295217403,0.3348722216856739,0.37204260525910865,0.0021922080612273797,-0.0018049273005047994
