name,party,n,n_night,daytime,nighttime,night_minus_day
Kirsten E. Gillibrand,Democrat,8067,387.0,0.4042346542346542,0.34366925064599485,-0.06056540358865936
Cynthia M. Lummis,Republican,7395,1206.0,0.32140077821011676,0.2603648424543947,-0.06103593575572208
Stacey E. Plaskett,Democrat,2443,474.0,0.2982456140350877,0.23628691983122363,-0.06195869420386407
Grace Meng,Democrat,13482,989.0,0.22883513685550605,0.16582406471183014,-0.0630110721436759
Ben Cline,Republican,5151,303.0,0.41233580810965165,0.3465346534653465,-0.06580115464430514
Keith Self,Republican,4535,586.0,0.5351213282247765,0.46928327645051193,-0.0658380517742646
Pete Ricketts,Republican,2646,309.0,0.24401294498381876,0.1779935275080906,-0.06601941747572815
Tim Kaine,Democrat,10369,611.0,0.3038523274478331,0.23404255319148937,-0.06980977425634372
Cory A. Booker,Democrat,39654,4775.0,0.1992352676563203,0.1281675392670157,-0.07106772838930459
Mike Crapo,Republican,4017,657.0,0.23272003978120337,0.1598173515981735,-0.07290268818302986
Daniel Meuser,Republican,4986,338.0,0.30505952380952384,0.23076923076923078,-0.07429029304029305
Mark DeSaulnier,Democrat,7432,380.0,0.30600265101306573,0.23157894736842105,-0.07442370364464468
Roger Williams,Republican,8826,466.0,0.2696984840912877,0.19098712446351931,-0.0787113596277684
James E. Risch,Republican,6317,385.0,0.24550484094052558,0.16623376623376623,-0.07927107470675934
James Lankford,Republican,9377,733.0,0.4089055064581917,0.3219645293315143,-0.08694097712667737
August Pfluger,Republican,5639,441.0,0.4411764705882353,0.35374149659863946,-0.08743497398959582
Lisa C. McClain,Republican,7497,434.0,0.5251771012827877,0.43548387096774194,-0.08969323031504578
Roger Marshall,Republican,5005,704.0,0.4138067061143984,0.3224431818181818,-0.09136352429621658
Russ Fulcher,Republican,3764,318.0,0.2873362445414847,0.1918238993710692,-0.09551234517041551
Charles E. Schumer,Democrat,32281,2253.0,0.4086899275839368,0.30670217487794055,-0.10198775270599625
Chellie Pingree,Democrat,2513,307.0,0.3310104529616725,0.2280130293159609,-0.10299742364571157
Wesley Hunt,Republican,3466,793.0,0.4928084784254353,0.37831021437578816,-0.11449826404964714
Eric Burlison,Republican,5531,583.0,0.6171945701357466,0.5008576329331046,-0.11633693720264204
Cindy Hyde-Smith,Republican,6546,332.0,0.229082774049217,0.11144578313253012,-0.11763699091668689
